"Name","PackageFullName","Version"
"Microsoft.ECApp","Microsoft.ECApp_10.0.26100.8246_neutral__8wekyb3d8bbwe","10.0.26100.8246"
"Microsoft.LockApp","Microsoft.LockApp_10.0.26100.8246_neutral__cw5n1h2txyewy","10.0.26100.8246"
"Microsoft.UI.Xaml.CBS","Microsoft.UI.Xaml.CBS_9.2602.17001.0_x64__8wekyb3d8bbwe","9.2602.17001.0"
"Microsoft.Windows.ShellExperienceHost","Microsoft.Windows.ShellExperienceHost_10.0.26100.8115_neutral_neutral_cw5n1h2txyewy","10.0.26100.8115"
"MicrosoftWindows.60719890.Voiess","MicrosoftWindows.60719890.Voiess_1000.26100.8115.0_x64__cw5n1h2txyewy","1000.26100.8115.0"
"MicrosoftWindows.60719895.Livtop","MicrosoftWindows.60719895.Livtop_1000.26100.8115.0_x64__cw5n1h2txyewy","1000.26100.8115.0"
"MicrosoftWindows.60719896.Speion","MicrosoftWindows.60719896.Speion_1000.26100.8115.0_x64__cw5n1h2txyewy","1000.26100.8115.0"
"MicrosoftWindows.60719898.InpApp","MicrosoftWindows.60719898.InpApp_1000.26100.8115.0_x64__cw5n1h2txyewy","1000.26100.8115.0"
"MicrosoftWindows.Client.CBS","MicrosoftWindows.Client.CBS_1000.26100.297.0_x64__cw5n1h2txyewy","1000.26100.297.0"
"MicrosoftWindows.Client.CoreAI","MicrosoftWindows.Client.CoreAI_1000.26100.8246.0_x64__cw5n1h2txyewy","1000.26100.8246.0"
"MicrosoftWindows.Client.Core","MicrosoftWindows.Client.Core_1000.26100.86.0_x64__cw5n1h2txyewy","1000.26100.86.0"
"MicrosoftWindows.Client.OOBE","MicrosoftWindows.Client.OOBE_1000.26100.40.0_x64__cw5n1h2txyewy","1000.26100.40.0"
"Microsoft.StorePurchaseApp","Microsoft.StorePurchaseApp_22601.1401.7.0_x64__8wekyb3d8bbwe","22601.1401.7.0"
"Microsoft.GamingApp","Microsoft.GamingApp_2604.1001.9.0_x64__8wekyb3d8bbwe","2604.1001.9.0"
"Microsoft.ScreenSketch","Microsoft.ScreenSketch_11.2601.12.0_x64__8wekyb3d8bbwe","11.2601.12.0"
"Microsoft.WebMediaExtensions","Microsoft.WebMediaExtensions_2.1.26.0_x64__8wekyb3d8bbwe","2.1.26.0"
"Microsoft.WindowsAppRuntime.1.8","Microsoft.WindowsAppRuntime.1.8_8000.836.2153.0_x64__8wekyb3d8bbwe","8000.836.2153.0"
"MicrosoftWindows.Speech.en-US.1","MicrosoftWindows.Speech.en-US.1_1.0.28.0_x64__cw5n1h2txyewy","1.0.28.0"
"Microsoft.WindowsStore","Microsoft.WindowsStore_22603.1401.9.0_x64__8wekyb3d8bbwe","22603.1401.9.0"
"Microsoft.DesktopAppInstaller","Microsoft.DesktopAppInstaller_1.28.240.0_x64__8wekyb3d8bbwe","1.28.240.0"
"MicrosoftCorporationII.WinAppRuntime.Singleton","MicrosoftCorporationII.WinAppRuntime.Singleton_8000.806.2252.0_x64__8wekyb3d8bbwe","8000.806.2252.0"
"PythonSoftwareFoundation.Python.3.13","PythonSoftwareFoundation.Python.3.13_3.13.3568.0_x64__qbz5n2kfra8p0","3.13.3568.0"
"Microsoft.StartExperiencesApp","Microsoft.StartExperiencesApp_1.248.3.0_x64__8wekyb3d8bbwe","1.248.3.0"
"88449BC3.TodoistPlannerCalendarMSIX","88449BC3.TodoistPlannerCalendarMSIX_9.27.1.0_x64__71ef4824z52ta","9.27.1.0"
"Microsoft.WindowsNotepad","Microsoft.WindowsNotepad_11.2512.29.0_x64__8wekyb3d8bbwe","11.2512.29.0"
"Microsoft.Paint","Microsoft.Paint_11.2601.441.0_x64__8wekyb3d8bbwe","11.2601.441.0"
"NVIDIACorp.NVIDIAControlPanel","NVIDIACorp.NVIDIAControlPanel_8.1.969.0_x64__56jybvy8sckqj","8.1.969.0"
"MicrosoftWindows.CrossDevice","MicrosoftWindows.CrossDevice_1.26032.83.0_x64__cw5n1h2txyewy","1.26032.83.0"
"Microsoft.YourPhone","Microsoft.YourPhone_1.26032.102.0_x64__8wekyb3d8bbwe","1.26032.102.0"
"MicrosoftCorporationII.WindowsSubsystemForLinux","MicrosoftCorporationII.WindowsSubsystemForLinux_2.7.3.0_x64__8wekyb3d8bbwe","2.7.3.0"
"65d483df-b37e-4fcf-94de-8b795233db63","65d483df-b37e-4fcf-94de-8b795233db63_25.1.23.0_x64__1mmjbktjj1mkp","25.1.23.0"
"MicrosoftCorporationII.WinAppRuntime.Main.1.8","MicrosoftCorporationII.WinAppRuntime.Main.1.8_8000.836.2153.0_x64__8wekyb3d8bbwe","8000.836.2153.0"
"Microsoft.WindowsAppRuntime.1.8","Microsoft.WindowsAppRuntime.1.8_8000.859.21.0_x86__8wekyb3d8bbwe","8000.859.21.0"
"Microsoft.WindowsAppRuntime.1.8","Microsoft.WindowsAppRuntime.1.8_8000.859.21.0_x64__8wekyb3d8bbwe","8000.859.21.0"
"Claude","Claude_1.7196.3.0_x64__pzs8sxrjxfjjc","1.7196.3.0"
"OpenAI.Codex","OpenAI.Codex_26.513.4821.0_x64__2p2nqsd0c76g0","26.513.4821.0"
"Microsoft.WindowsTerminal","Microsoft.WindowsTerminal_1.24.11321.0_x64__8wekyb3d8bbwe","1.24.11321.0"
"AdvancedMicroDevicesInc-RSXCM","AdvancedMicroDevicesInc-RSXCM_22.10.0.0_x64__v2es6h43hjn86","22.10.0.0"
"Microsoft.Edge.GameAssist","Microsoft.Edge.GameAssist_1.0.4019.0_x64__8wekyb3d8bbwe","1.0.4019.0"
"Microsoft.VisualStudioCode","Microsoft.VisualStudioCode_1.0.120.0_neutral__8wekyb3d8bbwe","1.0.120.0"
"Microsoft.Winget.Source","Microsoft.Winget.Source_2026.519.937.47_neutral__8wekyb3d8bbwe","2026.519.937.47"
