"Name","Version","ProviderName"
"Microsoft .NET Host - 8.0.25 (x86)","64.100.48707","msi"
"Tactical Monitor AI","1.0.0","msi"
"Microsoft .NET Targeting Pack - 9.0.12 (x64)","72.48.45417","msi"
"Microsoft .NET Targeting Pack - 9.0.15 (x64)","72.60.50518","msi"
"Microsoft .NET Core Runtime - 3.1.32 (x64)","24.192.31915","msi"
"Microsoft .NET Core Runtime - 3.1.32 (x64)","3.1.32.31915","Programs"
"Microsoft .NET AppHost Pack - 8.0.23 (x64_arm64)","64.92.45415","msi"
"Universal CRT Redistributable","10.1.26100.7705","msi"
"Microsoft .NET 9.0 Templates 9.0.311 (x64)","36.11.51454","msi"
"Microsoft.NET.Workload.Mono.Toolchain.net8.Manifest-10.0.100 (x64)","81.176.52183","msi"
"Microsoft .NET Core AppHost Pack - 3.1.32 (x64_arm)","24.192.31915","msi"
"Microsoft .NET Core 3.1 Templates 3.1.426 (x64)","3.1.33.16244","msi"
"WinRT Intellisense PPI - en-us","10.1.26100.7705","msi"
"Microsoft.NET.Workload.Emscripten.net7.Manifest-11.0.100-preview.1 (x64)","89.144.48582","msi"
"Microsoft .NET Core Runtime - 2.2.8 (x64)","16.160.28209","msi"
"Microsoft Windows Desktop Targeting Pack - 9.0.12 (x64)","72.48.45460","msi"
"Windows Desktop Extension SDK Contracts","10.1.26100.7705","msi"
"WinRT Intellisense IoT - en-us","10.1.26100.7705","msi"
"VS Script Debugging Common","17.0.157.0","msi"
"Microsoft .NET Host FX Resolver - 7.0.20 (x86)","56.80.15184","msi"
"Microsoft .NET AppHost Pack - 9.0.15 (x64_x86)","72.60.50518","msi"
"Microsoft .NET AppHost Pack - 6.0.36 (x64_arm64)","48.144.23141","msi"
"Microsoft .NET Toolset 10.0.108 (x64)","40.11.2123","msi"
"Application Verifier x64 External Package (DesktopEditions)","10.1.26100.7705","msi"
"Windows Team Extension SDK","10.1.26100.7705","msi"
"Microsoft Windows Desktop Runtime - 9.0.15 (x64)","72.60.50530","msi"
"Microsoft Windows Desktop Runtime - 9.0.15 (x64)","9.0.15.35926","Programs"
"Microsoft .NET AppHost Pack - 9.0.12 (x64_x86)","72.48.45417","msi"
"Windows Team Extension SDK Contracts","10.1.26100.7705","msi"
"Microsoft .NET Targeting Pack - 9.0.16 (x64)","72.64.52183","msi"
"Corsair Device Control Service","1.9.9","msi"
"Microsoft .NET Host FX Resolver - 8.0.25 (x86)","64.100.48707","msi"
"AMD DVR64","1.0.2","msi"
"Microsoft .NET Host FX Resolver - 8.0.24 (x64)","64.96.47242","msi"
"Microsoft ASP.NET Core 9.0.14 Targeting Pack (x64)","9.0.14.26119","msi"
"Microsoft .NET AppHost Pack - 9.0.14 (x64)","72.56.48826","msi"
"Microsoft .NET 9.0 Templates 9.0.310 (x64)","36.11.51051","msi"
"Microsoft .NET Toolset 9.0.314 (x64)","36.11.34881","msi"
"murmure","1.8.1","msi"
"Microsoft .NET 8.0 Templates 8.0.420 (x64)","32.14.61841","msi"
"Microsoft .NET Core 5.0 Templates 5.0.408 (x64)","20.4.59784","msi"
"Windows PE wims (DesktopEditions)","10.1.26100.2454","msi"
"Microsoft .NET Core Host - 3.1.32 (x64)","24.192.31915","msi"
"Microsoft .NET Host FX Resolver - 9.0.13 (x64)","72.52.47121","msi"
"Microsoft Windows Desktop Targeting Pack - 9.0.13 (x64)","72.52.47159","msi"
"Microsoft .NET Host FX Resolver - 8.0.27 (x64)","64.108.52182","msi"
"Microsoft .NET Targeting Pack - 8.0.25 (x64)","64.100.48707","msi"
"Microsoft .NET AppHost Pack - 10.0.3 (x64)","80.12.47319","msi"
"Microsoft .NET Core Host FX Resolver - 2.2.8 (x64)","16.160.28209","msi"
"MSI Development Tools","10.1.26100.7705","msi"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664","12.0.40664","msi"
"Microsoft ASP.NET Core Runtime - 10.0.8 (x64)","80.32.52183","msi"
"Microsoft ASP.NET Core Runtime - 10.0.8 (x64)","10.0.8.36029","Programs"
"Microsoft.NET.Sdk.tvOS.Manifest-7.0.100 (x64)","16.0.0","msi"
"Microsoft .NET 6.0 Templates 6.0.428 (x64)","24.9.28115","msi"
"Microsoft .NET Runtime - 8.0.19 (x64)","64.76.37566","msi"
"Microsoft.NET.Sdk.Aspire.Manifest-8.0.100 (x64)","64.136.23253","msi"
"Microsoft .NET AppHost Pack - 9.0.12 (x64_arm64)","72.48.45417","msi"
"Microsoft .NET Runtime - 8.0.25 (x64)","64.100.48707","msi"
"Microsoft .NET Runtime - 8.0.25 (x64)","8.0.25.35812","Programs"
"Microsoft .NET Toolset 8.0.417 (x64)","32.14.22025","msi"
"Microsoft Windows Desktop Targeting Pack - 11.0.0 Preview 4 (x64)","88.0.52195","msi"
"Microsoft Windows Desktop Runtime - 8.0.23 (x64)","64.92.45458","msi"
"Microsoft Windows Desktop Runtime - 8.0.23 (x64)","8.0.23.35609","Programs"
"ENE_X_AIC_HAL","1.0.6.3","msi"
"Microsoft .NET 7.0 Templates 7.0.410 (x64)","28.13.2919","msi"
"Microsoft Windows Desktop Targeting Pack - 10.0.8 (x64)","80.32.52183","msi"
"VLC media player","3.0.23","Programs"
"Microsoft ASP.NET Core 8.0.25 Shared Framework (x64)","8.0.25.26112","msi"
"WinRT Intellisense Desktop - Other Languages","10.1.26100.7705","msi"
"Microsoft ASP.NET Core Runtime - 10.0.4 (x64)","80.16.48830","msi"
"Microsoft ASP.NET Core Runtime - 10.0.4 (x64)","10.0.4.35819","Programs"
"Microsoft.NET.Sdk.MacCatalyst.Manifest-9.0.100 (x64)","18.0.9617","msi"
"Microsoft Windows Desktop Runtime - 11.0.0 Preview 4 (x64)","88.0.52195","msi"
"Microsoft ASP.NET Core Runtime - 10.0.3 (x64)","80.12.47319","msi"
"Microsoft ASP.NET Core Runtime - 10.0.3 (x64)","10.0.3.35725","Programs"
"Microsoft.NET.Sdk.MacCatalyst.Manifest-7.0.100 (x64)","15.4.0","msi"
"Microsoft ASP.NET Core 9.0.12 Targeting Pack (x64)","9.0.12.25609","msi"
"Microsoft .NET Runtime - 8.0.24 (x64)","64.96.47242","msi"
"Microsoft .NET Runtime - 8.0.24 (x64)","8.0.24.35720","Programs"
"Windows SDK Redistributables","10.1.26100.7705","msi"
"Microsoft .NET AppHost Pack - 9.0.15 (x64_arm64)","72.60.50518","msi"
"Microsoft .NET 9.0 Templates 9.0.314 (x64)","36.15.2113","msi"
"Kits Configuration Installer","10.1.26100.2454","msi"
"Microsoft ASP.NET Core 8.0.27 Targeting Pack (x64)","8.0.27.26230","msi"
"Microsoft .NET Toolset 11.0.100-preview.1.26104.118 (x64)","44.10.55158","msi"
"Microsoft .NET Host FX Resolver - 6.0.36 (x64)","48.144.23141","msi"
"Windows SDK for Windows Store Apps Tools","10.1.26100.7705","msi"
"Microsoft .NET Toolset 8.0.420 (x64)","32.15.61841","msi"
"AMD WVR64","1.0.2","msi"
"Microsoft .NET AppHost Pack - 9.0.16 (x64)","72.64.52183","msi"
"Microsoft.NET.Workload.Emscripten.net7.Manifest-10.0.100 (x64)","81.176.52183","msi"
"PowerShell 7-x64","7.6.1.0","msi"
"Microsoft.NET.Sdk.Android.Manifest-11.0.100-preview.1 (x64)","33.204.47415","msi"
"ENE_AIC_Marvell_HAL","1.0.7.0","msi"
"Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest-11.0.100-preview.1 (x64)","89.144.48582","msi"
"Microsoft .NET Toolset 8.0.418 (x64)","32.14.51843","msi"
"Microsoft ASP.NET Core 8.0.27 Shared Framework (x64)","8.0.27.26230","msi"
"Microsoft.NET.Sdk.Android.Manifest-7.0.100 (x64)","33.0.4","msi"
"Microsoft.NET.Sdk.macOS.Manifest-9.0.100 (x64)","15.0.9617","msi"
"Microsoft.NET.Sdk.iOS.Manifest-8.0.100 (x64)","17.0.8478","msi"
"Microsoft ASP.NET Core 2.2.8 Shared Framework (x64)","2.2.8.0","msi"
"Universal CRT Tools x64","10.1.26100.7705","msi"
"Microsoft .NET AppHost Pack - 8.0.24 (x64_x86)","64.96.47242","msi"
"Microsoft .NET AppHost Pack - 8.0.25 (x64_arm64)","64.100.48707","msi"
"Microsoft.NET.Workload.Mono.Toolchain.net9.Manifest-11.0.100-preview.4 (x64)","89.144.52195","msi"
"Windows SDK for Windows Store Apps Libs","10.1.26100.7705","msi"
"WinRT Intellisense UAP - en-us","10.1.26100.7705","msi"
"Windows PE Boot Files (DesktopEditions)","10.1.26100.2454","msi"
"Microsoft Windows Desktop Runtime - 9.0.13 (x64)","72.52.47159","msi"
"Microsoft Windows Desktop Runtime - 9.0.13 (x64)","9.0.13.35715","Programs"
"Microsoft .NET 11.0 Templates 11.0.100-preview.1.26104.118 x64","44.10.55158","msi"
"Microsoft .NET Core Host FX Resolver - 2.2.7 (x64)","16.156.28009","msi"
"Microsoft.NET.Sdk.macOS.Manifest-7.0.100 (x64)","12.3.0","msi"
"Windows PE Scripts","10.1.26100.2454","msi"
"Microsoft .NET Toolset 9.0.313 (x64)","36.11.62243","msi"
"vs_vswebprotocolselectormsi","17.14.36323","msi"
"Microsoft .NET Targeting Pack - 8.0.24 (x64)","64.96.47242","msi"
"vs_minshellinteropmsi","17.14.36015","msi"
"Microsoft .NET Targeting Pack - 8.0.23 (x64)","64.92.45415","msi"
"Microsoft Windows Desktop Runtime - 9.0.14 (x64)","72.56.48819","msi"
"Microsoft Windows Desktop Runtime - 9.0.14 (x64)","9.0.14.35819","Programs"
"Microsoft.NET.Sdk.tvOS.Manifest-9.0.100 (x64)","18.0.9617","msi"
"Microsoft .NET AppHost Pack - 6.0.36 (x64_x86)","48.144.23141","msi"
"Microsoft Windows Desktop Targeting Pack - 9.0.15 (x64)","72.60.50530","msi"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.7523","9.0.30729.7523","msi"
"Microsoft .NET 9.0 Templates 9.0.312 (x64)","36.11.56644","msi"
"Microsoft .NET AppHost Pack - 5.0.17 (x64_x86)","40.68.31213","msi"
"Microsoft .NET 8.0 Templates 8.0.418 (x64)","32.14.51843","msi"
"AMD Privacy View","1.2.1","msi"
"Microsoft .NET Toolset 5.0.408 (x64)","20.6.59784","msi"
"Microsoft Windows Desktop Targeting Pack - 5.0.0 (x64)","40.0.29420","msi"
"Verbatim_SureFireGaming_Product","1.0.3.11","msi"
"Microsoft .NET Core SDK 2.2.402 (x64)","8.100.43055","msi"
"Microsoft .NET Core SDK 2.2.402 (x64)","2.2.402","Programs"
"Microsoft ASP.NET Core 9.0.15 Targeting Pack (x64)","9.0.15.26176","msi"
"Microsoft Windows Desktop Runtime - 10.0.8 (x64)","80.32.52183","msi"
"Windows SDK Modern Non-Versioned Developer Tools","10.1.26100.7705","msi"
"Microsoft .NET 11.0 Templates 11.0.100-preview.4.26230.115 x64","44.11.2219","msi"
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest-11.0.100-preview.4 (x64)","89.144.52195","msi"
"Microsoft .NET AppHost Pack - 8.0.25 (x64)","64.100.48707","msi"
"Microsoft .NET AppHost Pack - 10.0.8 (x64)","80.32.52183","msi"
"Windows SDK Modern Versioned Developer Tools","10.1.26100.7705","msi"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.7523","9.0.30729.7523","msi"
"vs_communitysharedmsi","17.14.36025","msi"
"Microsoft .NET 8.0 Templates 8.0.417 (x64)","32.15.54793","msi"
"Microsoft .NET AppHost Pack - 9.0.12 (x64)","72.48.45417","msi"
"Microsoft ASP.NET Core 8.0.24 Targeting Pack (x64)","8.0.24.26072","msi"
"Microsoft .NET Host FX Resolver - 11.0.0 Preview 1 (x64)","88.0.48582","msi"
"Google Chrome","148.0.7778.168","msi"
"Microsoft .NET Toolset 8.0.419 (x64)","32.14.55941","msi"
"Microsoft Windows Desktop Targeting Pack - 7.0.20 (x64)","56.80.15245","msi"
"Microsoft ASP.NET Core 3.1.10 Targeting Pack (x64)","3.1.10.20520","msi"
"Microsoft .NET Runtime - 11.0.0 Preview 1 (x64)","88.0.48582","msi"
"Microsoft .NET Runtime - 11.0.0 Preview 1 (x64)","11.0.0.35804","Programs"
"Microsoft .NET Host FX Resolver - 9.0.15 (x64)","72.60.50518","msi"
"Microsoft .NET Host - 10.0.8 (x64)","80.32.52183","msi"
"Microsoft Windows Desktop Targeting Pack - 8.0.27 (x64)","64.108.52193","msi"
"Microsoft .NET AppHost Pack - 8.0.23 (x64)","64.92.45415","msi"
"Windows SDK for Windows Store Apps Headers","10.1.26100.7705","msi"
"Microsoft.NET.Workload.Mono.Toolchain.net9.Manifest-10.0.100 (x64)","81.176.52183","msi"
"Microsoft Windows Desktop Runtime - 8.0.26 (x64)","64.104.50433","msi"
"Microsoft Windows Desktop Runtime - 8.0.26 (x64)","8.0.26.35920","Programs"
"Microsoft.NET.Sdk.macOS.Manifest-8.0.100 (x64)","14.0.8478","msi"
"Microsoft .NET Runtime - 9.0.12 (x64)","72.48.45417","msi"
"Microsoft.NET.Workload.Mono.Toolchain.Manifest","48.3.40665","msi"
"Microsoft .NET AppHost Pack - 7.0.20 (x64)","56.80.15184","msi"
"Microsoft .NET Host - 6.0.36 (x64)","48.144.23141","msi"
"Microsoft.NET.Workload.Emscripten.net10.Manifest-11.0.100-preview.4 (x64)","89.144.52195","msi"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61135","11.0.61030","msi"
"Windows SDK DirectX x64 Remote","10.1.26100.7705","msi"
"Windows SDK for Windows Store Managed Apps Libs","10.1.26100.7705","msi"
"Microsoft .NET Host FX Resolver - 9.0.12 (x64)","72.48.45417","msi"
"Microsoft .NET Core AppHost Pack - 3.0.3 (x64)","24.12.28517","msi"
"Microsoft Windows Desktop Targeting Pack - 8.0.23 (x64)","64.92.45458","msi"
"WinAppDeploy","10.1.26100.7705","msi"
"Microsoft ASP.NET Core 3.0.1 Targeting Pack (x64)","3.0.1.0","msi"
"Microsoft .NET Core Targeting Pack - 3.1.0 (x64)","24.64.28315","msi"
"Microsoft Visual Studio Installer","4.5.35.35368","Programs"
"Windows SDK for Windows Store Apps Headers OnecoreUap","10.1.26100.7705","msi"
"vs_FileTracker_Singleton","17.14.36015","msi"
"Microsoft .NET Core SDK 2.2.207 (x64)","8.51.59374","msi"
"Microsoft .NET Core SDK 2.2.207 (x64)","2.2.207","Programs"
"NVIDIA Graphics Driver 596.21","596.21","Programs"
"vcpp_crt.redist.clickonce","14.44.35211","msi"
"Microsoft .NET AppHost Pack - 10.0.4 (x64)","80.16.48830","msi"
"Paragon Hard Disk Manager? 17 Business","17.20.14.6174","msi"
"NVIDIA App 11.0.7.247","11.0.7.247","Programs"
"Microsoft.NET.Sdk.macOS.Manifest-11.0.100-preview.1 (x64)","26.2.11310","msi"
"Microsoft Windows Desktop Targeting Pack - 10.0.3 (x64)","80.12.47319","msi"
"AMD Interface Driver","2.0.0.26","msi"
"NVIDIA PhysX System Software 9.23.1019","9.23.1019","Programs"
"Microsoft .NET AppHost Pack - 7.0.20 (x64_arm)","56.80.15184","msi"
"Windows SDK Desktop Libs arm64","10.1.26100.7705","msi"
"Microsoft .NET Host FX Resolver - 9.0.14 (x64)","72.56.48826","msi"
"NVIDIA FrameView SDK 1.7.12227.37421622","1.7.12227.37421622","Programs"
"Microsoft .NET Runtime - 8.0.23 (x64)","64.92.45415","msi"
"Microsoft .NET Targeting Pack - 9.0.14 (x64)","72.56.48826","msi"
"Microsoft.NET.Sdk.Android.Manifest-9.0.100 (x64)","35.0.7","msi"
"Microsoft .NET Host FX Resolver - 8.0.23 (x64)","64.92.45415","msi"
"Microsoft .NET Host FX Resolver - 10.0.3 (x64)","80.12.47319","msi"
"Microsoft .NET Targeting Pack - 11.0.0 Preview 4 (x64)","88.0.52195","msi"
"Microsoft.NET.Sdk.macOS.Manifest-10.0.100 (x64)","26.0.11017","msi"
"Microsoft .NET Host FX Resolver - 11.0.0 Preview 2 (x64)","88.0.50256","msi"
"Microsoft .NET AppHost Pack - 8.0.27 (x64_x86)","64.108.52182","msi"
"Microsoft .NET Targeting Pack - 8.0.27 (x64)","64.108.52182","msi"
"vs_minshellmsires","17.14.36015","msi"
"Microsoft ASP.NET Core 8.0.24 Shared Framework (x64)","8.0.24.26072","msi"
"Microsoft .NET AppHost Pack - 9.0.16 (x64_x86)","72.64.52183","msi"
"Microsoft .NET Runtime - 5.0.17 (x64)","40.68.31213","msi"
"Microsoft .NET Runtime - 5.0.17 (x64)","5.0.17.31213","Programs"
"Microsoft Windows Desktop Targeting Pack - 8.0.26 (x64)","64.104.50433","msi"
"AMD PSP Driver","5.40.0.0","msi"
"vs_minshellinteropsharedmsi","17.14.36015","msi"
