"DisplayName","DisplayVersion","Publisher","InstallLocation","UninstallString"
"Microsoft .NET 9.0 Templates 9.0.312 (x64)","36.11.56644","Microsoft Corporation","","MsiExec.exe /I{CC355296-727E-4588-B4BE-F019FCBBE942}"
"Microsoft .NET 9.0 Templates 9.0.313 (x64)","36.11.62243","Microsoft Corporation","","MsiExec.exe /I{2D853949-12C7-4D6A-A67D-B27BAF3C5DC2}"
"Microsoft .NET 9.0 Templates 9.0.314 (x64)","36.15.2113","Microsoft Corporation","","MsiExec.exe /I{050B1E05-8C8D-465B-A39E-CC055DF0195E}"
"Microsoft .NET AppHost Pack - 10.0.3 (x64)","80.12.47319","Microsoft Corporation","","MsiExec.exe /X{046E0624-E3F9-44B8-A9B6-CAA705648A40}"
"Microsoft .NET AppHost Pack - 10.0.4 (x64)","80.16.48830","Microsoft Corporation","","MsiExec.exe /X{68A605F7-4D93-49FF-9E6D-FEBD4D33907C}"
"Microsoft .NET AppHost Pack - 10.0.8 (x64)","80.32.52183","Microsoft Corporation","","MsiExec.exe /X{0FD1C4D6-E4FE-42D0-B6A2-DB1226A15110}"
"Microsoft .NET AppHost Pack - 11.0.0 Preview 1 (x64)","88.0.48582","Microsoft Corporation","","MsiExec.exe /X{01DE38C1-FCBB-4067-B715-DD91E65072D8}"
"Microsoft .NET AppHost Pack - 11.0.0 Preview 4 (x64)","88.0.52195","Microsoft Corporation","","MsiExec.exe /X{607739F1-9004-47CB-964F-19057E87A5CC}"
"Microsoft .NET AppHost Pack - 5.0.17 (x64)","40.68.31213","Microsoft Corporation","","MsiExec.exe /X{83EE22D9-C7B3-4CBC-9956-9DF0D4D0FF46}"
"Microsoft .NET AppHost Pack - 5.0.17 (x64_arm)","40.68.31213","Microsoft Corporation","","MsiExec.exe /X{38CA215A-103C-4C37-A86E-57E49C2220AD}"
"Microsoft .NET AppHost Pack - 5.0.17 (x64_arm64)","40.68.31213","Microsoft Corporation","","MsiExec.exe /X{E61152B0-06C3-4EA3-AE31-13BCB874406A}"
"Microsoft .NET AppHost Pack - 5.0.17 (x64_x86)","40.68.31213","Microsoft Corporation","","MsiExec.exe /X{A95FEF96-3FF2-4387-9301-792B6721F648}"
"Microsoft .NET AppHost Pack - 6.0.36 (x64)","48.144.23141","Microsoft Corporation","","MsiExec.exe /X{6D178730-5DF0-430C-B949-B2F9AB0C9894}"
"Microsoft .NET AppHost Pack - 6.0.36 (x64_arm)","48.144.23141","Microsoft Corporation","","MsiExec.exe /X{82EC488E-AC0D-42CB-A3D8-EA29392F80B5}"
